;id;plants;locations
0;1;Балаковская АЭС;52.09278,47.95389
1;1;Балтийская АЭС;54.939204,22.164717
2;1;Белоярская АЭС;56.84083,61.32194
3;1;Билибинская АЭС;68.05028,166.53889
4;1;Калининская АЭС;57.905,35.06139
5;1;Кольская АЭС;67.46528,32.48333
6;1;Курская АЭС;51.675,35.60556
7;1;Курская АЭС-2;51.689556,35.574611
8;1;Ленинградская АЭС;59.85278,29.04861
9;1;Ленинградская АЭС-2;59.830437,29.056749
10;1;Нижегородская АЭС;55.73472,42.34194
11;1;Нововоронежская АЭС;51.28222,39.21
12;1;Нововоронежская АЭС-2;51.269603,39.211228
13;1;Обнинская АЭС;55.08389,36.57139
14;1;Ростовская АЭС;47.59722,42.36667
15;1;Сибирская АЭС;56.624887,84.905777
16;1;Смоленская АЭС;54.16472,33.23667
17;1;Смоленская АЭС-2;54.23833,33.165
18;1;Центральная АЭС;58.36667,41.6
0;2;Анадырская ВЭС;64.76667,177.55417
1;2;Ветроэлектростанция Уфимцева;51.73389,36.18556
2;2;ВЭС Тюпкильды;54.578861,54.250278
3;2;Зеленоградская ВЭС;54.93333,20.35
4;2;Шумихинская ВЭС;55.23333,63.28333
0;3;Аушигерская ГЭС;43.3525,43.7175
1;3;Ахтынская ГЭС;41.458751,47.731328
2;3;Баксанская ГЭС;43.6551083,43.3969083
3;3;Беканская ГЭС;43.2645361,44.2607333
4;3;Беломорская ГЭС;64.51167,34.69167
5;3;Белореченская ГЭС;44.89194,39.64778
6;3;Богучанская ГЭС;58.69444,99.14889
7;3;Борисоглебская ГЭС;69.64333,30.1375
8;3;Братская ГЭС;56.28611,101.78417
9;3;Бурейская ГЭС;50.27,130.31361
10;3;Быстринская ГЭС;159.13306,159.13306
11;3;Верхне-Свирская ГЭС;60.91889,34.19111
12;3;Верхне-Териберская ГЭС;69.05778,35.00028
13;3;Верхне-Туломская ГЭС;68.60667,31.74778
14;3;Верхотурская ГЭС;58.85222,60.75583
15;3;Вилюйская ГЭС;63.032167,112.471333
16;3;Волховская ГЭС;59.91278,32.34028
17;3;Выгостровская ГЭС;64.48889,34.66194
18;3;Вышневолоцкое водохранилище;57.5648,34.4629
19;3;Гельбахская ГЭС;43.153944,46.852167
20;3;Гергебильская ГЭС;42.45417,47.03167
21;3;Гизельдонская ГЭС;42.9025,44.4601
22;3;Гунибская ГЭС;42.431806,46.987861
23;3;ГЭС «Белый уголь»;44.01222,42.81528
24;3;ГЭС «Пороги»;55.28194,59.134861
25;3;Дзауджикауская ГЭС;43.00995,44.6861
26;3;Егорлыкская ГЭС;45.065722,41.597333
27;3;Егорлыкская ГЭС-2;45.112639,41.549139
28;3;Енашиминская ГЭС;60.2528347,92.9685777
29;3;Загорская ГАЭС;56.48222,38.18556
30;3;Зарагижская ГЭС;43.35667,43.71861
31;3;Зейская ГЭС;53.769806,127.305444
32;3;Зеленчукская ГЭС-ГАЭС;43.89833,41.8825
33;3;Иовская ГЭС;66.66917,31.38944
34;3;Ирганайская ГЭС;42.7452,46.8316
35;3;Ириклинская ГЭС;51.67194,58.6275
36;3;Иркутская ГЭС;52.23667,104.32167
37;3;Ичалковская ГЭС;55.44139,44.52194
38;3;Кайтакоски ГЭС;68.93861,28.60056
39;3;Карамышевская ГЭС;55.762694,37.4644889
40;3;Кашхатау ГЭС;43.325417,43.653528
