;id;plants
0;1;Балаковская АЭС
1;1;Балтийская АЭС
2;1;Белоярская АЭС
3;1;Билибинская АЭС
4;1;Калининская АЭС
5;1;Кольская АЭС
6;1;Курская АЭС
7;1;Курская АЭС-2
8;1;Ленинградская АЭС
9;1;Ленинградская АЭС-2
10;1;Нижегородская АЭС
11;1;Нововоронежская АЭС
12;1;Нововоронежская АЭС-2
13;1;Обнинская АЭС
14;1;Ростовская АЭС
15;1;Сибирская АЭС
16;1;Смоленская АЭС
17;1;Смоленская АЭС-2
18;1;Центральная АЭС
19;2;Анадырская ВЭС
20;2;Ветроэлектростанция Уфимцева
21;2;ВЭС Тюпкильды
22;2;Зеленоградская ВЭС
23;2;Шумихинская ВЭС
24;3;Аушигерская ГЭС
25;3;Ахтынская ГЭС
26;3;Баксанская ГЭС
27;3;Беканская ГЭС
28;3;Беломорская ГЭС
29;3;Белореченская ГЭС
30;3;Богучанская ГЭС
31;3;Борисоглебская ГЭС
32;3;Братская ГЭС
33;3;Бурейская ГЭС
34;3;Быстринская ГЭС
35;3;Верхне-Свирская ГЭС
36;3;Верхне-Териберская ГЭС
37;3;Верхне-Туломская ГЭС
38;3;Верхотурская ГЭС
39;3;Вилюйская ГЭС
40;3;Волховская ГЭС
41;3;Выгостровская ГЭС
42;3;Вышневолоцкое водохранилище
43;3;Гельбахская ГЭС
44;3;Гергебильская ГЭС
45;3;Гизельдонская ГЭС
46;3;Гунибская ГЭС
47;3;ГЭС «Белый уголь»
48;3;ГЭС «Пороги»
49;3;Дзауджикауская ГЭС
50;3;Егорлыкская ГЭС
51;3;Егорлыкская ГЭС-2
52;3;Енашиминская ГЭС
53;3;Загорская ГАЭС
54;3;Зарагижская ГЭС
55;3;Зейская ГЭС
56;3;Зеленчукская ГЭС-ГАЭС
57;3;Иовская ГЭС
58;3;Ирганайская ГЭС
59;3;Ириклинская ГЭС
60;3;Иркутская ГЭС
61;3;Ичалковская ГЭС
62;3;Кайтакоски ГЭС
63;3;Карамышевская ГЭС
64;3;Кашхатау ГЭС
65;3;Кислогубская ПЭС
66;3;Княжегубская ГЭС
67;3;Колымская ГЭС
68;3;Кондопожская ГЭС
69;3;Красноключёвская малая ГЭС
70;3;Краснополянская ГЭС
71;3;Кривопорожская ГЭС
72;3;Кубанская ГАЭС
73;3;Кубанская ГЭС-1
74;3;Кубанская ГЭС-2
75;3;Кубанская ГЭС-3
76;3;Кубанская ГЭС-4
77;3;Кумская ГЭС
78;3;Курейская ГЭС
79;3;Лесогорская ГЭС
80;3;Майкопская ГЭС
81;3;Мамаканская ГЭС
82;3;Маткожненская ГЭС
83;3;Миатлинская ГЭС
84;3;Нарвская ГЭС
85;3;Нива ГЭС-1
86;3;Нива ГЭС-2
87;3;Нива ГЭС-3
88;3;Нижне-Свирская ГЭС
89;3;Нижне-Териберская ГЭС
90;3;Нижне-Туломская ГЭС
91;3;Новосибирская ГЭС
92;3;Новотроицкая ГЭС
93;3;Нугушская ГЭС
94;3;Озёрская ГЭС
95;3;Ондская ГЭС
96;3;Павловская ГЭС
97;3;Палокоргская ГЭС
98;3;Пальеозёрская ГЭС
99;3;Перервинская ГЭС
100;3;Подужемская ГЭС
101;3;Правдинская ГЭС-3
102;3;Правдинская ГЭС-4
103;3;Путкинская ГЭС
104;3;Раякоски ГЭС
105;3;Светлинская ГЭС
106;3;Светогорская ГЭС
107;3;Свистухинская ГЭС
108;3;Сенгилеевская ГЭС
109;3;Серебрянская ГЭС-1
110;3;Серебрянская ГЭС-2
111;3;Сходненская ГЭС
112;3;Сызранская ГЭС
113;3;Усть-Илимская ГЭС
114;3;Усть-Хантайская ГЭС
115;3;Хевоскоски ГЭС
116;3;Хоробровская ГЭС
117;3;Цимлянская ГЭС
118;3;Чемальская ГЭС
119;3;Чиркейская ГЭС
120;3;Чирюртская ГЭС-1
121;3;Чирюртская ГЭС-2
122;3;Шекснинская ГЭС
123;3;Широковская ГЭС
124;3;Эзминская ГЭС
125;3;Юмагузинская ГЭС
126;3;Юшкозерская ГЭС
127;3;Янискоски ГЭС
128;4;Бугульчанская СЭС
129;4;Исянгуловская СЭС
130;4;Кош-Агачская СЭС
131;4;СЭС Батагай
132;5;Автовская ТЭЦ
133;5;Автозаводская ТЭЦ
134;5;Алексеевская ТЭЦ-3
135;5;Алексинская ТЭЦ
136;5;Аргаяшская ТЭЦ
137;5;Армавирская ТЭЦ
138;5;Архангельская ТЭЦ
139;5;Астраханская ТЭЦ-2
140;5;Барнаульская ТЭЦ-1
141;5;Барнаульская ТЭЦ-2
142;5;Барнаульская ТЭЦ-3
143;5;Безымянская ТЭЦ
144;5;Белгородская ТЭЦ
145;5;Березниковская ТЭЦ-2
146;5;Березниковская ТЭЦ-4
147;5;Березниковская ТЭЦ-10
148;5;Василеостровская ТЭЦ
149;5;Владивостокская ТЭЦ-1
150;5;Владимирская ТЭЦ-1
151;5;Владимирская ТЭЦ-2
152;5;Волгоградская ТЭЦ-2
153;5;Волгоградская ТЭЦ-3
154;5;Волгодонская ТЭЦ-1
155;5;Волгодонская ТЭЦ-2
156;5;Волжская ТЭЦ-1
157;5;Волжская ТЭЦ-2
158;5;Вологодская ТЭЦ
159;5;Выборгская ТЭЦ
160;5;Вышневолоцкая ТЭЦ
161;5;ГТ ТЭЦ «Луч»
162;5;Губкинская ТЭЦ
163;5;Гусевская ТЭЦ
164;5;ГЭС-1
165;5;Данковская ТЭЦ
166;5;Джубгинская ТЭС
167;5;Дзержинская ТЭЦ
168;5;Дорогобужская ТЭЦ
169;5;Дубровская ТЭЦ
170;5;Дягилевская ТЭЦ
171;5;Елабужская ТЭЦ
172;5;Елецкая ТЭЦ
173;5;Зауральская ТЭЦ
174;5;Ишимбайская ГТУ
175;5;Йошкар-Олинская ТЭЦ-1
176;5;Йошкар-Олинская ТЭЦ-2
177;5;Казанская ТЭЦ-1
178;5;Казанская ТЭЦ-3
179;5;Калининградская ТЭЦ-1
180;5;Калужская ТЭЦ
181;5;Каменская ТЭЦ
182;5;Камчатская ТЭЦ-1
183;5;Камчатская ТЭЦ-2
184;5;Камыш-Бурунская ТЭЦ
185;5;Качканарская ТЭЦ
186;5;Киришская ГРЭС
187;5;Кировская ТЭЦ-1
188;5;Клинцовская ТЭЦ
189;5;Комсомольская ТЭЦ-2
190;5;Комсомольская ТЭЦ-3
191;5;Конаковская ГРЭС
192;5;Костромская ГРЭС
193;5;Костромская ТЭЦ-1
194;5;Костромская ТЭЦ-2
195;5;Котовская ТЭЦ
